sample_label,clusters4
c2g1s1,82
c2g1s2,82
c2g1s3,82
c2g1s4,115
c2g1s5,115
c2g1s6,115
c2g1s7,115
c2g1s8,115
c2g1s9,82
c2g1s10,82
c2g1s11,82
c2g1s12,82
c2g1s13,82
c2g1s14,82
c2g1s15,82
c2g1s16,82
c2g1s17,115
c2g1s18,115
c2g1s19,115
c2g1s20,82
c2g1s21,82
c2g1s22,82
c2g1s23,115
c2g1s24,115
c2g1s25,115
c2g1s26,115
c2g1s27,115
c2g1s28,82
c2g1s29,82
c2g1s30,82
c2g1s31,82
c2g1s32,115
c2g1s33,82
c2g1s34,115
c2g1s35,115
c2g1s36,115
c2g1s37,115
c2g1s38,82
c2g1s39,82
c2g1s40,82
c2g1s41,82
c2g1s42,115
c2g1s43,115
c2g1s44,115
c2g1s45,115
c2g1s46,115
c2g1s47,82
c2g1s48,82
c2g1s49,115
c2g1s50,115
c2g1s51,82
c2g1s52,82
c2g1s53,115
c2g1s54,115
c2g1s55,82
c2g1s56,115
c2g1s57,82
c2g1s58,115
c2g1s59,82
c2g1s60,82
c2g1s61,82
c2g1s62,115
c2g1s63,115
c2g1s64,82
c2g1s65,82
c2g1s66,82
c2g1s67,82
c2g1s68,115
c2g1s69,115
c2g1s70,115
c2g1s71,115
c2g1s72,82
c2g1s73,82
c2g1s74,82
c2g1s75,82
c2g1s76,82
c2g1s77,82
c2g1s78,82
c2g1s79,115
c2g1s80,115
c2g1s81,82
c2g1s82,82
c2g1s83,115
c2g1s84,82
c2g1s85,115
c2g1s86,115
c2g1s87,82
c2g1s88,82
c2g1s89,115
c2g1s90,82
c2g1s91,82
c2g1s92,115
c2g1s93,82
c2g1s94,82
c2g1s95,115
c2g1s96,82
c2g1s97,82
c2g1s98,115
c2g1s99,82
c2g1s100,82
c2g1s101,82
c2g1s102,115
c2g1s103,115
c2g1s104,115
c2g1s105,82
c2g1s106,82
c2g1s107,82
c2g1s108,115
c2g1s109,115
c2g1s110,82
c2g1s111,82
c2g1s112,82
c2g1s113,82
c2g1s114,115
c2g1s115,115
c2g1s116,82
c2g1s117,82
c2g1s118,115
c2g1s119,82
c2g1s120,115
c2g1s121,82
c2g1s122,82
c2g1s123,82
c2g1s124,82
c2g1s125,115
c2g1s126,115
c2g1s127,115
c2g1s128,115
c2g1s129,82
c2g1s130,115
c2g1s131,82
c2g1s132,82
c2g1s133,115
c2g1s134,82
c2g1s135,115
c2g1s136,115
c2g1s137,115
c2g1s138,82
c2g1s139,115
c2g1s140,82
c2g1s141,82
c2g1s142,82
c2g1s143,82
c2g1s144,82
c2g1s145,115
c2g1s146,115
c2g1s147,82
c2g1s148,115
c2g1s149,82
c2g1s150,82
c2g1s151,82
c2g1s152,82
c2g1s153,115
c2g1s154,115
c2g1s155,115
c2g1s156,82
c2g1s157,82
c2g1s158,115
c2g1s159,82
c2g1s160,115
c2g1s161,115
c2g1s162,82
c2g1s163,115
c2g1s164,82
c2g1s165,82
c2g1s166,115
c2g1s167,82
c2g1s168,115
c2g1s169,82
c2g1s170,82
c2g1s171,115
c2g1s172,82
c2g1s173,82
c2g1s174,115
c2g1s175,115
c2g1s176,82
c2g1s177,82
c2g1s178,115
c2g1s179,115
c2g1s180,115
c2g1s181,82
c2g1s182,115
c2g1s183,115
c2g1s184,82
c2g1s185,82
